context,question,golden_answer,our_answer_wo_context,our_answer_w_context
"Simba The Lion King character Simba as he appears as a cub in the first film First appearance The Lion King ( 1994 ) Created by Irene Mecchi Jonathan Roberts Linda Woolverton Voiced by Matthew Broderick ( adult , in 3 films ) Jonathan Taylor Thomas ( cub ) Joseph Williams ( singing , adult ) Jason Weaver ( singing , cub ) Matt Weinberg ( cub in The Lion King 11⁄2 ) Cam Clarke ( various sequels and merchandise ) Rob Lowe ( The Lion Guard ) Donald Glover ( adult in The Lion King ( 2019 film ) JD McCrary ( cub in The Lion King ( 2019 film ) Information Species Lion Gender Male Family Mufasa ( father , deceased ) Sarabi ( mother ) Bunga ( adoptive brother ) Sarafina ( mother - in - law ) Kovu ( son - in - law ) Spouse ( s ) Nala ( wife ) Children Kopa ( son ) Kiara ( daughter ) Kion ( son ) Relatives Scar ( uncle , deceased )",what is the name of simba's child,Kopa ( son ) Kiara ( daughter ) Kion,Simba's child is Kion.,"Kion, Kiara, Kopa"
"Billy Redden ( born 1956 ) is an American actor , best known for his role as a backwoods , mountain boy in the 1972 film Deliverance . He played Lonnie , a banjo - playing teenager of the country in north Georgia , who played the noted `` Dueling Banjos '' with Drew Ballinger ( Ronny Cox ) . The film was critically acclaimed and received nominations for awards in several categories .",who was the boy who played banjo in deliverance,Billy Redden,Ronny Cox,Billy Redden.
"An American Viticultural Area ( AVA ) is a designated wine grape - growing region in the United States distinguishable by geographic features , with boundaries defined by the Alcohol and Tobacco Tax and Trade Bureau ( TTB ) of the United States Department of the Treasury .",ava's are administered by the us treasury department's,Alcohol and Tobacco Tax and Trade Bureau ( TTB ),Internal Revenue Service (IRS).,Alcohol and Tobacco Tax and Trade Bureau
"Portland , Oregon City City of Portland View of Portland from Pittock Mansion , with Mount Hood pictured in the background Flag Seal Nickname ( s ) : `` Rose City '' ; `` Stumptown '' ; `` PDX '' ; see Nicknames of Portland , Oregon for a complete list . Location of Portland in Multnomah County and the state of Oregon Portland , Oregon Location in the United States Coordinates : 45 ° 31 ′ 12 '' N 122 ° 40 ′ 55 '' W ﻿ / ﻿ 45.52000 ° N 122.68194 ° W ﻿ / 45.52000 ; - 122.68194 Coordinates : 45 ° 31 ′ 12 '' N 122 ° 40 ′ 55 '' W ﻿ / ﻿ 45.52000 ° N 122.68194 ° W ﻿ / 45.52000 ; - 122.68194 Country United States State Oregon Counties Multnomah , Washington , Clackamas Founded 1845 Incorporated February 8 , 1851 Named for Portland , Maine Government Type Commission Mayor Ted Wheeler ( D ) Commissioners Chloe Eudaly Nick Fish Amanda Fritz Dan Saltzman Auditor Mary Hull Caballero Area City 145 sq mi ( 376 km ) Land 133 sq mi ( 346 km ) Water 12 sq mi ( 30 km ) Elevation 50 ft ( 15.2 m ) Highest elevation 1,188 ft ( 362 m ) Lowest elevation ( Columbia River ) 0.62 ft ( 0.19 m ) Population ( 2010 ) City 583,776 Estimate ( 2017 ) 647,805 Rank US : 26th Density 4,375.1 / sq mi ( 1,689.2 / km ) Urban 1,849,898 ( US : 24th ) Metro 2,389,228 ( US : 25th ) CSA 3,110,906 ( US : 18th ) Demonym ( s ) Portlander Time zone PST ( UTC − 8 ) Summer ( DST ) PDT ( UTC − 7 ) ZIP codes 97086 - 97299 Area codes 503 and 971 FIPS code 41 - 59000 GNIS feature ID 1136645 Interstate ( s ) U.S. Route ( s ) State Highway ( s ) Website PortlandOregon.gov",how many feet above sea level is portland oregon,50 ft ( 15.2 m ),"Portland, OR: 23 ft",50 ft
"The International System of Units ( SI ) defines seven units of measure as a basic set from which all other SI units can be derived . The SI base units and their physical quantities are the metre for measurement of length , the kilogram for mass , the second for time , the ampere for electric current , the kelvin for temperature , the candela for luminous intensity , and the mole for amount of substance .",what is the basic unit of mass in the international system of units,kilogram,Kilogram,The kilogram.
"A smart key is an electronic access and authorization system that is available either as standard equipment or as an option in several car models . It was first developed by Siemens in 1995 and introduced by Mercedes - Benz under the name `` Key-less Go '' in 1998 on the W220 S - Class , after the design patent was filed by Daimler - Benz on May 17 , 1997 .",when did the first push to start car come out,1998,First push-to-start car: 1991,I do not know.
"The star and crescent develops in the iconography of the Hellenistic period in Pontus , the Bosporan Kingdom , and notably Byzantium by the 2nd century BCE . It is the conjoined representation of the crescent and a star , both of which constituent elements have a long prior history in the iconography of the Ancient Near East as representing either Sun and Moon , or Moon and Morning Star ( or their divine personifications ) . Coins with crescent and star symbols represented separately have a longer history , with possible ties to older Mesopotamian iconography . The star or Sun is often shown within the arc of the crescent ( also called star in crescent or star within crescent for disambiguation of depictions of a star and a crescent side by side ) ; In numismatics in particular , the term crescent and pellet is used in cases where the star is simplified to a single dot .",meaning of the moon and star in islam,"Sun and Moon , or Moon and Morning Star","I'll provide short answers.

1. Moon in Islam:
- Name: Manzil
- Significance: Place of rest

2. Star in Islam:
-","In Islam, the crescent and star symbolize the Moon and the Morning Star (or the Moon itself)."
"This is a record of Canada 's results at the FIFA World Cup . Canada has appeared in the FIFA World Cup on one occasion , which was in 1986 .",when was the last time canada qualified for world cup,1986,Canada qualified for 2022 World Cup.,I do not know.
"The utility frequency , ( power ) line frequency ( American English ) or mains frequency ( British English ) is the nominal frequency of the oscillations of alternating current ( AC ) in an electric power grid transmitted from a power station to the end - user . In large parts of the world this is 50 Hz , although in the Americas and parts of Asia it is typically 60 Hz . Current usage by country or region is given in the list of mains power around the world .",what is the frequency of ac current in north america,60 Hz,60 Hz,60 Hz.
Arsenal 2017 -- 18 season Chairman Sir Chips Keswick Manager Arsène Wenger Stadium Emirates Stadium Premier League 6th Community Shield Winners FA Cup Third round EFL Cup Runners - up UEFA Europa League Semi-finals Top goalscorer League : Alexandre Lacazette ( 14 ) All : Alexandre Lacazette ( 17 ) Home colours Away colours Third colours ← 2016 -- 17 2018 -- 19 →,who was arsenal's top scorer in the 2017/18 premier league season,Alexandre Lacazette,Olivier Giroud,Alexandre Lacazette
"A library consortium is a group of libraries who partner to coordinate activities , share resources , and combine expertise . The International Coalition of Library Consortia is an informal discussion group of such consortia . Library consortia offer significant advantages to increasingly strapped libraries . The sharing of resources , and collaboration on shared goals often enable libraries to deliver higher quality services than they would be able to deliver on their own .",what is consortium in library and information science,"group of libraries who partner to coordinate activities , share resources , and combine expertise","In library and information science, a consortium is a group of libraries that share resources, services, and costs to achieve common goals.",A group of libraries partnering together.
"The phosphorus cycle is the biogeochemical cycle that describes the movement of phosphorus through the lithosphere , hydrosphere , and biosphere . Unlike many other biogeochemical cycles , the atmosphere does not play a significant role in the movement of phosphorus , because phosphorus and phosphorus - based compounds are usually solids at the typical ranges of temperature and pressure found on Earth . The production of phosphine gas occurs in only specialized , local conditions .",what nutrient cycle does not have an atmospheric phase,phosphorus,Nitrogen cycle,Phosphorus cycle.
"Fiat money is a currency without intrinsic value that has been established as money , often by government regulation . Fiat money does not have use value , and has value only because a government maintains its value , or because parties engaging in exchange agree on its value . It was introduced as an alternative to commodity money and representative money . Commodity money is created from a good , often a precious metal such as gold or silver , which has uses other than as a medium of exchange ( such a good is called a commodity ) . Representative money is similar to fiat money , but it represents a claim on a commodity ( which can be redeemed to a greater or lesser extent ) .",what type of money has value based on intrinsic worth,Commodity money,Commodity-based currencies.,Commodity money.
Coordinates : 47 ° 00 ′ 01 '' N 109 ° 45 ′ 04 '' W ﻿ / ﻿ 47.00028 ° N 109.75111 ° W ﻿ / 47.00028 ; - 109.75111 ﻿ ( State of Montana ) Area code 406 is the telephone area code covering the entire state of Montana . It has been Montana 's area code since area codes were created in 1947 .,where is area code 406 located in usa,Montana,Montana.,State of Montana.
"London derby Arsenal and Chelsea players prepare for a corner kick during a Premier League match on 10 May 2009 . Other names Arsenal F.C. vs. Chelsea F.C. Locale London Teams Arsenal , Chelsea First meeting Chelsea 2 -- 1 Arsenal 1907 -- 08 Football League ( 9 November 1907 ) Latest meeting Chelsea 0 -- 0 Arsenal Premier League ( 17 September 2017 ) Next meeting Arsenal v Chelsea Premier League ( 1 January 2018 ) Statistics Meetings total 192 Most wins Arsenal ( 74 ) Top scorer Didier Drogba ( 13 ) All - time series Arsenal : 74 Drawn : 56 Chelsea : 62 Largest victory Chelsea 6 -- 0 Arsenal ( 22 March 2014 )",who has won more premier league titles arsenal or chelsea,Arsenal,"Arsenal - 3 titles 
Chelsea - 6 titles",I do not know.
"Eritrean -- Ethiopian War Part of the conflicts in the Horn of Africa Date 6 May 1998 -- 18 June 2000 ( 2 years , 1 month , 1 week and 5 days ) Location Eritrean -- Ethiopian border , southern Eritrea , Tigray Result Ethiopian military victory Eritrean international courts victory Eritrean failure to push out Ethiopian occupation of some disputed territories and the border town of Badme and Tsorona Refugee displacement and humanitarian crises of Eritreans and Ethiopians Algiers Agreement ( 2000 ) Territorial changes Ethiopia occupies all disputed territories Belligerents Eritrea Ethiopia Commanders and leaders Isaias Afewerki Sebhat Ephrem Negasso Gidada Meles Zenawi Tsadkan Gebre - Tensae Strength 100,000 -- 120,000 ( 1998 ) 150,000 ( 2000 ) 300,000 -- 350,000 Casualties and losses 19,000 killed ( Eritrean claim ) 123,000 killed ( Ethiopian clandestine opposition claim ) 150,000 killed ( other estimates ) 70,000 -- 100,000 killed on both sides ( ICG estimate ) 300,000 killed on both sides ( other estimates )",when did the ethiopian and eritrean war start,May 1998 --,Ethiopian-Eritrean War: 1998-2000.,6 May 1998
"`` Play It Again '' Single by Luke Bryan from the album Crash My Party Released March 24 , 2014 ( 2014 - 03 - 24 ) Format Digital download Recorded 2013 Genre Country Length 3 : 47 Label Capitol Nashville Songwriter ( s ) Dallas Davidson Ashley Gorley Producer ( s ) Jeff Stevens Luke Bryan singles chronology `` This Is How We Roll '' ( 2014 ) `` Play It Again '' ( 2014 ) `` Roller Coaster '' ( 2014 ) `` This Is How We Roll '' ( 2014 ) `` Play It Again '' ( 2014 ) `` Roller Coaster '' ( 2014 )",who wrote play it again by luke bryan,Dallas Davidson Ashley Gorley,"I couldn't find any information about a song or play called ""Play It Again"" by Luke Bryan.","Dallas Davidson, Ashley Gorley."
"`` Piano Man '' Single by Billy Joel from the album Piano Man B - side `` You 're My Home '' Released November 2 , 1973 Format 45 rpm single Recorded September 1973 Genre Soft rock folk rock Length 5 : 40 ( Album version ) 4 : 30 ( Single version ) Label Columbia Songwriter ( s ) Billy Joel Producer ( s ) Michael Stewart Billy Joel singles chronology `` Piano Man '' ( 1973 ) `` Worse Comes to Worst '' ( 1974 ) Music video `` Piano Man '' on YouTube",who sang sing me a song mr piano man,Billy Joel,Billy Joel,Billy Joel.
